# MeV/fm^3 				 MeV/fm^3
# energy_density 			 pressure
5.6200000000000006e-15			9.244486447010648e-25
5.632956302746126e-15			9.05018054205033e-25
5.645942474848278e-15			9.244000074282336e-25
5.658958585167025e-15			9.367538747273377e-25
5.67200470272169e-15			9.270993760703608e-25
5.685080896690714e-15			9.36851149273e-25
5.698187236412021e-15			9.39112782459647e-25
5.711323791383387e-15			9.632368697838817e-25
5.724490631262803e-15			9.205090256017442e-25
5.7376878258688545e-15			9.520016597598933e-25
5.750915445181084e-15			9.566708379516806e-25
5.764173559340362e-15			9.636259679665305e-25
5.777462238649265e-15			9.585433729556788e-25
5.790781553572443e-15			9.331547165378351e-25
5.8041315747369934e-15			9.594188438666387e-25
5.817512372932839e-15			9.663739738814887e-25
5.830924019113098e-15			9.634314188752061e-25
5.844366584394467e-15			9.906196543878012e-25
5.857840140057592e-15			9.942917684865507e-25
5.87134475754745e-15			9.763202961754525e-25
5.8848805084737255e-15			9.689760679779537e-25
5.898447464611193e-15			9.852452357399627e-25
5.912045697900094e-15			1.018926547175512e-24
5.925675280446525e-15			9.946322293963684e-25
5.939336284522807e-15			1.016446046261125e-24
5.953028782567885e-15			9.95045646215433e-25
5.966752847187699e-15			1.0202397535419523e-24
5.980508551155579e-15			1.0133332607999335e-24
5.994295967412621e-15			1.025054843552233e-24
6.008115169068082e-15			1.0366791517588702e-24
6.021966229399761e-15			1.0346607049363788e-24
6.035849221854397e-15			1.0352686708467678e-24
6.049764220048049e-15			1.035098440391859e-24
6.063711297766489e-15			1.0354632199380923e-24
6.0776905289655946e-15			1.0179294830824743e-24
6.091701987771743e-15			1.043318139500318e-24
6.1057457484821956e-15			1.0282649035590868e-24
6.11982188556551e-15			1.0430749531361622e-24
6.133930473661908e-15			1.0634053331795698e-24
6.148071587583695e-15			1.0696065854655374e-24
6.162245302315655e-15			1.0712845713782108e-24
6.17645169301542e-15			1.0579579586224845e-24
6.190690835013914e-15			1.0729868759273e-24
6.2049628038157155e-15			1.0649860445465811e-24
6.219267675099468e-15			1.0863134886830266e-24
6.233605524718293e-15			1.0939981777903432e-24
6.247976428700176e-15			1.0743973568394025e-24
6.26238046324838e-15			1.0924417850597473e-24
6.276817704741845e-15			1.093122706879383e-24
6.291288229735597e-15			1.1246882969467786e-24
6.305792114961149e-15			1.0904962941465027e-24
6.320329437326909e-15			1.0965516346139767e-24
6.3349002739185936e-15			1.1285306415004371e-24
6.349504701999629e-15			1.101561273715582e-24
6.3641427990115624e-15			1.108346173275523e-24
6.378814642574476e-15			1.121137776030107e-24
6.3935203104874e-15			1.1158119946550995e-24
6.408259880728712e-15			1.146672344266444e-24
6.423033431456575e-15			1.1470857610855088e-24
6.437841041009324e-15			1.1534329251899697e-24
6.452682787905901e-15			1.131181372869733e-24
6.467558750846262e-15			1.148180099724209e-24
6.482469008711801e-15			1.151973807005036e-24
6.497413640565759e-15			1.1674647784017473e-24
6.512392725653659e-15			1.1484719233611955e-24
6.527406343403703e-15			1.176243806147764e-24
6.542454573427213e-15			1.1860442166232345e-24
6.557537495519047e-15			1.1660056602168138e-24
6.5726551896580184e-15			1.1816425434320183e-24
6.587807736007328e-15			1.2021917912031655e-24
6.6029952149149784e-15			1.1998328834708566e-24
6.6182177069142066e-15			1.2239812894315066e-24
6.6334752927239145e-15			1.2027997571135548e-24
6.6487680532490906e-15			1.2161993257785277e-24
6.664096069581238e-15			1.2224735339737421e-24
6.679459422998813e-15			1.2075175725781732e-24
6.694858194967648e-15			1.2094873821278335e-24
6.710292467141382e-15			1.219336429876135e-24
6.7257623213619055e-15			1.2304014094452143e-24
6.741267839659781e-15			1.2136945062277251e-24
6.7568091042546854e-15			1.2419527617426049e-24
6.772386197555843e-15			1.2660038931575928e-24
6.787999202162468e-15			1.2388642949178289e-24
6.803648200864191e-15			1.2647879613368148e-24
6.819333276641512e-15			1.2514127113082574e-24
6.835054512666229e-15			1.2576382822306405e-24
6.850811992301885e-15			1.2696273699835112e-24
6.8666057991042095e-15			1.275707029087401e-24
6.8824360168215585e-15			1.2660038931575928e-24
6.898302729395365e-15			1.2821514677375242e-24
6.9142060209605745e-15			1.2930948541245259e-24
6.930145975846102e-15			1.2943837418545505e-24
6.946122678575267e-15			1.3080021782472635e-24
6.9621362138662584e-15			1.3080021782472635e-24
6.978186666632562e-15			1.294626928218706e-24
6.994274121983431e-15			1.2947728400371991e-24
7.0103986652243236e-15			1.3115770178003507e-24
7.026560381857365e-15			1.3250495423745705e-24
7.042759357581793e-15			1.3162948332649692e-24
7.058995678294417e-15			1.3176080396314092e-24
7.075269430090073e-15			1.3374034096736744e-24
7.091580699262079e-15			1.3358713355794942e-24
7.10792957230269e-15			1.3485170265155848e-24
7.124316135903562e-15			1.3624272865452847e-24
7.14074047695621e-15			1.3657346210978009e-24
7.157202682552468e-15			1.3721061038386774e-24
7.173702839984949e-15			1.371400863382626e-24
7.19024103674751e-15			1.3542805433460726e-24
7.206817360535719e-15			1.3866972856880128e-24
7.223431899247312e-15			1.3862595502325329e-24
7.240084740982663e-15			1.3954763134340296e-24
7.256775974045258e-15			1.4075626757325625e-24
7.273505686942154e-15			1.3916339688803715e-24
7.29027396838445e-15			1.4166578457519818e-24
7.30708090728776e-15			1.4276012321389833e-24
7.323926592772681e-15			1.4197463125767578e-24
7.34081111416527e-15			1.4134234671087124e-24
7.357734560997528e-15			1.4288658012325923e-24
7.374697023007831e-15			1.4374502798872848e-24
7.391698590141474e-15			1.4597991067531837e-24
7.408739352551078e-15			1.44245991898889e-24
7.425819400597128e-15			1.4310544785099926e-24
7.442938824848409e-15			1.4713990963234054e-24
7.460097716082509e-15			1.4600422931173392e-24
7.47729616528629e-15			1.4672649281327602e-24
7.49453426365638e-15			1.4638116817617509e-24
7.511812102599647e-15			1.4946233941002643e-24
7.529129773733686e-15			1.4801051681601754e-24
7.546487368887311e-15			1.4893219313616723e-24
7.563884980101037e-15			1.4915349272754884e-24
7.581322699627561e-15			1.5052020009410325e-24
7.59880061993227e-15			1.498441420017507e-24
7.61631883369371e-15			1.513275788230998e-24
7.633877433804096e-15			1.541363813290969e-24
7.651476513369788e-15			1.5241462187087532e-24
7.6691161657118e-15			1.5261646655312444e-24
7.686796484366281e-15			1.5365973605535194e-24
7.704517563085021e-15			1.5439172701146025e-24
7.722279495835943e-15			1.5603080310586894e-24
7.740082376803605e-15			1.5721512069930667e-24
7.757926300389695e-15			1.5645637924314124e-24
7.775811361213539e-15			1.5713486919913534e-24
7.793737654112587e-15			1.575434222909167e-24
7.811705274142937e-15			1.583167549289315e-24
7.829714316579826e-15			1.574777619725947e-24
7.847764876918134e-15			1.5787415574616833e-24
7.865857050872898e-15			1.597442588865248e-24
7.883990934379815e-15			1.6066107147939142e-24
7.90216662359575e-15			1.6303700225719154e-24
7.920384214899245e-15			1.6165083998150467e-24
7.93864380489104e-15			1.6353553430371049e-24
7.956945490394569e-15			1.6312941307557067e-24
7.975289368456488e-15			1.6462987294241064e-24
7.99367553634718e-15			1.6708362335674056e-24
8.012104091561277e-15			1.668428688562265e-24
8.030575131818172e-15			1.6504328976147516e-24
8.049088755062541e-15			1.6758215540325952e-24
8.067645059464862e-15			1.6772563535811135e-24
8.08624414342193e-15			1.6596496608162485e-24
8.104886105557388e-15			1.675602686304855e-24
8.123571044722241e-15			1.7006508818128815e-24
8.14229905999539e-15			1.6832873754121718e-24
8.161070250684146e-15			1.718598035487564e-24
8.179884716324765e-15			1.700456332721557e-24
8.198742556682972e-15			1.719035770943044e-24
8.217643871754491e-15			1.7127129254749985e-24
8.23658876176558e-15			1.7416521028095138e-24
8.255577327173547e-15			1.738831140985309e-24
8.274609668667305e-15			1.758918334664561e-24
8.29368588716789e-15			1.7541518819271113e-24
8.312806083829e-15			1.773460879241065e-24
8.331970360037529e-15			1.738490680075491e-24
8.351178817414112e-15			1.7666516610447088e-24
8.37043155781366e-15			1.7735581537867274e-24
8.389728683325899e-15			1.7711749274180028e-24
8.409070296275905e-15			1.792721239282188e-24
8.42845649922466e-15			1.7940830829214594e-24
8.447887394969595e-15			1.802254144757087e-24
8.467363086545112e-15			1.7909216601874368e-24
8.486883677223167e-15			1.8052210183997855e-24
8.506449270513784e-15			1.8368352457400126e-24
8.526059970165625e-15			1.824335466622415e-24
8.545715880166532e-15			1.8269132420824642e-24
8.565417104744082e-15			1.8503077703142323e-24
8.585163748366133e-15			1.8468545239432228e-24
8.604955915741382e-15			1.8645098539809187e-24
8.62479371181993e-15			1.8729241021807023e-24
8.644677241793813e-15			1.8624670885220116e-24
8.66460661109759e-15			1.8693249439911996e-24
8.684581925408886e-15			1.900550073148777e-24
8.704603290648947e-15			1.885229332206975e-24
8.724670812983213e-15			1.8966104540494566e-24
8.74478459882188e-15			1.9047815158850846e-24
8.764944754820454e-15			1.92501462138283e-24
8.78515138788034e-15			1.9185458640962913e-24
8.805404605149364e-15			1.9417458432367344e-24
8.825704514022402e-15			1.946950031429664e-24
8.846051222141889e-15			1.956628848723057e-24
8.866444837398444e-15			1.9389248814125296e-24
8.886885467931387e-15			1.9567261232687188e-24
8.907373222129378e-15			1.9685449805666806e-24
8.927908208630914e-15			1.9783210724057353e-24
8.94849053632498e-15			1.9846925551466118e-24
8.969120314351578e-15			1.9816770442310825e-24
8.989797652102322e-15			1.9829416133246916e-24
9.010522659221015e-15			1.9972896088098716e-24
9.031295445604237e-15			2.0284174634217876e-24
9.05211612140192e-15			2.0252074034149333e-24
9.07298479701793e-15			2.030362954335032e-24
9.093901583110667e-15			2.0321138961569523e-24
9.114866590593633e-15			2.0628040153133877e-24
9.135879930636033e-15			2.0500124125588037e-24
9.156941714663363e-15			2.0648954180451262e-24
9.178052054357992e-15			2.0736501271547273e-24
9.199211061659768e-15			2.086733553546298e-24
9.220418848766595e-15			2.059253494396716e-24
9.241675528135052e-15			2.0894086035520094e-24
9.262981212480958e-15			2.0959746353842105e-24
9.284336014779997e-15			2.1159645545178004e-24
9.3057400482683e-15			2.131090746368278e-24
9.327193426443052e-15			2.1414504854813058e-24
9.348696263063106e-15			2.1166941136102667e-24
9.37024867214955e-15			2.1442714473055105e-24
9.391850767986361e-15			2.131917580006407e-24
9.413502665120965e-15			2.1546798236913703e-24
9.435204478364877e-15			2.1822571573866145e-24
9.456956322794292e-15			2.1779284401046448e-24
9.478758313750701e-15			2.1978210846925724e-24
9.500610566841505e-15			2.192470984681149e-24
9.522513197940627e-15			2.2047762147074223e-24
9.544466323189117e-15			2.1970915256001053e-24
9.566470058995779e-15			2.2241338492942074e-24
9.58852452203779e-15			2.234590862952898e-24
9.610629829261315e-15			2.2448046902474323e-24
9.632786097882108e-15			2.2396977766001653e-24
9.654993445386172e-15			2.2716038275773785e-24
9.677251989530354e-15			2.236730902957467e-24
9.699561848342975e-15			2.2728683966709876e-24
9.721923140124453e-15			2.2622654711938036e-24
9.744335983447944e-15			2.2786075948650598e-24
9.766800497159961e-15			2.2889673339780875e-24
9.789316800381e-15			2.303120780371943e-24
9.811885012506176e-15			2.3230134249598706e-24
9.83450525320586e-15			2.3188792567692257e-24
9.857177642426304e-15			2.3273907795146713e-24
9.879902300390295e-15			2.3532658086608263e-24
9.902679347597773e-15			2.3437329031859268e-24
9.925508904826474e-15			2.3377991559005304e-24
9.94839109313258e-15			2.3914460678332538e-24
9.97132603385135e-15			2.3542871913902795e-24
9.994313848597779e-15			2.3908624205592804e-24
1.0017354659267217e-14			2.384636849636897e-24
1.0040448588036043e-14			2.40953913332643e-24
