# MeV/fm^3 				 MeV/fm^3
# energy_density 			 pressure
5.620000000000000602365137e-15	9.244486447010649623207396e-25
5.632956364518281094387482e-15	9.281450774362300073309808e-25
5.645942598677407559953124e-15	9.261266306137387422834339e-25
5.658958771338930637924044e-15	9.207278933294844351390067e-25
5.672004951523163957503378e-15	9.20679256056653287125031e-25
5.685081208409542281086394e-15	9.16350538774683685275091e-25
5.698187611336978069389651e-15	9.294826024390857511958456e-25
5.711324229804244078990029e-15	9.382373115486870672526846e-25
5.724491133470339393784754e-15	9.272939251616855599348801e-25
5.737688392154843623537841e-15	9.618993447810259742079469e-25
5.750916075838310545471799e-15	9.397693856428672195024597e-25
5.764174254662617569648644e-15	9.632611884202973839152957e-25
5.77746299893135543625708e-15	9.671035329739556892964715e-25
5.790782379110190302767992e-15	9.416662392832810736925483e-25
5.804132465827235297420808e-15	9.577894952267966302563934e-25
5.817513329873436272206153e-15	9.680519597941626163915158e-25
5.830925042202940200908582e-15	9.556251365858119211669196e-25
5.84436767393346752145385e-15	9.841508971012626907838693e-25
5.857841296346695522308846e-15	9.739857070795590006766982e-25
5.871345980888639362298816e-15	9.752502761731679306851034e-25
5.884881799170017313206482e-15	9.941215380316419725061302e-25
5.898448822966643612502837e-15	9.927596943923707464697737e-25
5.912047124219811849747089e-15	9.883093839283231827493984e-25
5.925676775036653109437624e-15	1.003630124870125439931119e-24
5.939337847690550911848161e-15	1.017248561262838802320637e-24
5.953030414621494622713282e-15	1.013138711708609091027099e-24
5.966754548436485716594627e-15	1.005259473509967888208845e-24
5.980510321909916430115399e-15	1.03774917176115529241939e-24
5.9942978079839381600031e-15	1.011144583522533491822036e-24
6.00811707976888113709111e-15	1.029480835379864905489331e-24
6.021968210543616513474184e-15	1.028362178104749052180868e-24
6.035851273755949215239251e-15	1.022768891729170520322523e-24
6.049766343023016317222552e-15	1.032690895386718654030808e-24
6.06371349213167279599229e-15	1.033469091752016654912434e-24
6.077692795038876493970383e-15	1.030161757199500610343005e-24
6.09170432587208886077231e-15	1.032617939477472023845341e-24
6.105748158929670172520633e-15	1.03057517401856509295531e-24
6.119824368681258185079498e-15	1.068342016371928475097863e-24
6.133933029768181497168974e-15	1.045725684505458423923611e-24
6.148074217003838992460463e-15	1.041129462222917783503294e-24
6.162248005374115569273751e-15	1.062846004542012055596476e-24
6.176454470037763949255137e-15	1.074129851838831415341118e-24
6.190693686326798318969135e-15	1.067588138643046140058721e-24
6.204965729746917948204582e-15	1.064864451364503504315016e-24
6.219270675977891365235475e-15	1.092101324149929861752069e-24
6.233608600873945265247252e-15	1.080477015943292465909597e-24
6.247979580464197594973752e-15	1.08920740641647793245296e-24
6.262383690953039361375345e-15	1.107640932819471825819198e-24
6.276821008720536161839689e-15	1.079309721395345648258151e-24
6.291291610322846280461498e-15	1.125709679676232384587108e-24
6.30579557249262695140873e-15	1.09925100325610402803168e-24
6.320332972139420111905237e-15	1.10452814735828018963468e-24
6.334903886350088642311359e-15	1.125952866040388124656986e-24
6.349508392389206852272004e-15	1.126949930133426016095014e-24
6.364146567699469899526456e-15	1.124420791946207788736218e-24
6.378818489902122141379915e-15	1.114109690106010838258113e-24
6.393524236797340521103431e-15	1.120383898301225074970132e-24
6.408263886364673963458112e-15	1.121453918303509596593627e-24
6.423037516763445693756788e-15	1.148861021543844512902114e-24
6.437845206333157923508389e-15	1.138331051975907671867606e-24
6.452687033593928879359439e-15	1.128336092409112907973854e-24
6.467563077246889600129378e-15	1.160777153387468796828439e-24
6.482473416174609921699386e-15	1.156837534288148195419312e-24
6.497418129441519728735768e-15	1.16503291476019158482192e-24
6.512397296294323106665195e-15	1.162649688391466801505051e-24
6.527410996162411704789043e-15	1.179964557519344841562827e-24
6.542459308658303342946693e-15	1.175757433419453201583322e-24
6.557542313578057741212581e-15	1.186287402987390409959814e-24
6.572660090901682783262393e-15	1.176559948421166500965447e-24
6.587812720793587322532653e-15	1.188938134356686048176068e-24
6.603000283602977979256059e-15	1.194239597095278059292544e-24
6.61822285986430879117745e-15	1.215761590323047923000816e-24
6.633480530297697732111769e-15	1.205061390300201788410905e-24
6.648773375809344808223826e-15	1.191053855724839976593551e-24
6.664101477491982497605183e-15	1.205231620755110714624324e-24
6.679464916625297790858445e-15	1.232055076721472589449072e-24
6.694863774676340821046162e-15	1.209073965308769203676492e-24
6.710298133299995813651252e-15	1.225148583979453795897354e-24
6.725768074339390505386805e-15	1.222643764428651234381043e-24
6.741273679826322917945813e-15	1.245746469023432214682074e-24
6.756815031981721263908907e-15	1.241587982196371722716545e-24
6.772392213216058098719604e-15	1.234049204907548372325127e-24
6.78800530612979366051304e-15	1.274320866811714132312999e-24
6.803654393513823943110132e-15	1.266490265885904261179713e-24
6.819339558349907469767307e-15	1.26590661861193085235399e-24
6.835060883811102322117991e-15	1.280351888642772996297125e-24
6.850818453262227623802167e-15	1.269894874984082601777092e-24
6.866612350260276903580708e-15	1.271037850895613753586055e-24
6.882442658554886678713077e-15	1.272594243626209571678314e-24
6.898309462088770328455203e-15	1.29000638729974990776404e-24
6.914212844998151967557349e-15	1.290833220937878872988649e-24
6.93015289161323739622453e-15	1.294091918217563953215094e-24
6.94612968645864402930986e-15	1.320380364182783383557103e-24
6.962143314253843447282375e-15	1.317437809176500673586003e-24
6.97819385991362761302203e-15	1.309242428704457100512404e-24
6.994281408548556155952945e-15	1.296086046403639552420157e-24
7.010406045465387878958575e-15	1.304840755513241052147989e-24
7.026567856167563541255693e-15	1.338838209222192759094833e-24
7.042766926355631843283219e-15	1.328283921017839884875857e-24
7.059003341927725109828061e-15	1.328673019200489068987662e-24
7.07527718898000184099295e-15	1.34730109469480737073881e-24
7.091588553807103462660558e-15	1.342729191048682212489984e-24
7.107937522902619754427581e-15	1.349222266971636523429398e-24
7.124324182959542444625242e-15	1.352456645614905937813359e-24
7.140748620870723538505221e-15	1.36391072336663422377142e-24
7.157210923729338379591022e-15	1.371109039745639538065007e-24
7.173711178829355810777486e-15	1.362451605181700518036119e-24
7.19024947366597047010685e-15	1.377018468394620440178698e-24
7.206825895936110817191708e-15	1.379863748855241037792838e-24
7.22344053353888089532194e-15	1.386575692505935422959647e-24
7.240093474576008404458872e-15	1.38854550205559572366421e-24
7.256784807352349572214619e-15	1.377675071577840662860881e-24
7.273514620376335649124442e-15	1.396181553890081186412586e-24
7.290283002360436758859018e-15	1.412183216651519148447981e-24
7.307090042221647836542052e-15	1.419016753484291128143239e-24
7.323935829081960367571603e-15	1.410480912102429886313795e-24
7.34082045226880888289244e-15	1.405373998455162467253221e-24
7.357744001315583718584432e-15	1.447664107181819859630624e-24
7.374706565962068044804041e-15	1.432610871240588641019282e-24
7.391708236154945892207289e-15	1.453962634013449578514136e-24
7.408749102048259691274779e-15	1.456710639928407696429333e-24
7.425829254003886744298455e-15	1.4357236567017802772038e-24
7.442948782592036207751887e-15	1.459823425389599516284843e-24
7.460107778591712942502542e-15	1.474122783601948216186052e-24
7.477306332991195563520351e-15	1.472858214508339102506654e-24
7.494544536988542888578855e-15	1.499851900929609903544821e-24
7.511822481992054633023858e-15	1.499268253655636127377113e-24
7.529140259620757348091045e-15	1.489516480452997103553239e-24
7.546497961704909291885318e-15	1.488373504541465951744277e-24
7.563895680286461124149448e-15	1.513494655958738380763847e-24
7.58133350761956551040885e-15	1.507269085036355292065803e-24
7.598811536171059904845574e-15	1.511038473680767150932504e-24
7.616329858620946177728683e-15	1.515659014599723273524313e-24
7.633888567862897064115401e-15	1.511451890499831449873816e-24
7.651487757004745257612354e-15	1.537497150100895323816939e-24
7.669127519368967770971374e-15	1.532900927818354499725629e-24
7.686807948493189229347029e-15	1.535138242368586206342555e-24
7.704529138130683585832345e-15	1.555954995140304699354669e-24
7.72229118225085217116737e-15	1.556417049232200146309956e-24
7.740094175039739608771188e-15	1.571202780172860326350921e-24
7.757938210900535530277638e-15	1.559092099237911817710678e-24
7.77582338445404631435664e-15	1.577306757913165636849522e-24
7.793749790539234667573363e-15	1.557608662416562629803887e-24
7.811717524213705562705842e-15	1.579373842008488049911045e-24
7.829726680754196910228024e-15	1.596713029772781755811304e-24
7.847777355657108095116271e-15	1.586912619297311583973454e-24
7.865869644638998536941454e-15	1.625214471651817226927755e-24
7.884003643637084672239244e-15	1.611644672531935196223204e-24
7.90217944880976060270756e-15	1.61835661618262939771902e-24
7.920397156537099810742288e-15	1.616557037087878023227875e-24
7.938656863421378963078346e-15	1.625579251198050377855091e-24
7.95695866628758435949084e-15	1.637811525315076664694777e-24
7.975302662183905759721727e-15	1.644231645328784529119716e-24
7.993688948382280697504424e-15	1.658506684904717563178441e-24
8.012117622378904084708573e-15	1.642894120325928601583859e-24
8.030588781894720460544908e-15	1.632072327121004872465497e-24
8.049102524875979349642522e-15	1.683408968594250285312601e-24
8.067658949494718044922867e-15	1.678593878583969386993897e-24
8.086258154149315387955219e-15	1.69549533089278312811036e-24
8.104900237464990329048775e-15	1.685865150872221698814936e-24
8.123585298294333619502777e-15	1.698267655444156911868041e-24
8.142313435717831615247572e-15	1.704639138185033444608012e-24
8.161084749044394813651116e-15	1.699143126355116841435633e-24
8.179899337811867457663743e-15	1.723315850952182894373136e-24
8.198757301787586049339064e-15	1.716701181847150805234279e-24
8.217658740968887376256927e-15	1.715582524572034951925816e-24
8.236603755583624426555434e-15	1.728909137327761426231481e-24
8.255592446090740679669939e-15	1.738004307347180411044165e-24
8.274624913180767088703341e-15	1.746126731909976802919321e-24
8.293701257776360083563441e-15	1.72920096096474794697335e-24
8.312821581032849040431168e-15	1.759210158301548088168084e-24
8.331985984338779018063369e-15	1.756389196477342972725435e-24
8.351194569316412473328532e-15	1.762225669217077428324651e-24
8.370447437822313018276646e-15	1.765241180132606401139233e-24
8.389744691947858179727598e-15	1.775795468336959091687217e-24
8.409086434019778980130345e-15	1.800989575663478334563247e-24
8.428472766600721606527426e-15	1.795250377469406542333967e-24
8.447903792489780680526896e-15	1.808576990225133016639632e-24
8.467379614723030950552445e-15	1.813586629326738507014239e-24
8.486900336574106315747827e-15	1.828712821177216172140056e-24
8.506466061554706274678016e-15	1.819471739339303559614453e-24
8.526076893415185993286306e-15	1.847049073034547402136359e-24
